,posted,neighborhood,post title,URL,price
0,2022-10-24 00:25, (Hyde park),Double bike rack hitch,https://cincinnati.craigslist.org/spo/d/cincinnati-double-bike-rack-hitch/7549243282.html,$30
1,2022-10-24 00:21, (Florence),Toshiba 32 Inch TV,https://cincinnati.craigslist.org/ele/d/florence-toshiba-32-inch-tv/7549241748.html,$40
2,2022-10-24 00:20, (Cincinnati),Vintage bike,https://cincinnati.craigslist.org/bik/d/milford-vintage-bike/7545351794.html,$0
3,2022-10-24 00:15, (Hamilton),Drum guitar stuff,https://cincinnati.craigslist.org/msg/d/hamilton-drum-guitar-stuff/7539878952.html,$40
4,2022-10-24 00:15, (Hamilton),Webn shirts new,https://cincinnati.craigslist.org/clo/d/cincinnati-webn-shirts-new/7545835713.html,
5,2022-10-24 00:15, (Hamilton),Cincinnati reds Kyle waldrop,https://cincinnati.craigslist.org/for/d/hamilton-cincinnati-reds-kyle-waldrop/7545835694.html,$150
6,2022-10-24 00:15, (Hamilton),Cincinnati reds  signed jersey,https://cincinnati.craigslist.org/for/d/hamilton-cincinnati-reds-signed-jersey/7545835684.html,$120
7,2022-10-24 00:15, (Hamilton),The Doors vcr tapes,https://cincinnati.craigslist.org/for/d/hamilton-the-doors-vcr-tapes/7545835659.html,$40
8,2022-10-24 00:04, (Batavia),New pair of Chevy/GMC 30” Swingcase Truck Tool Box #2118&2309,https://cincinnati.craigslist.org/for/d/batavia-new-pair-of-chevy-gmc-30/7549240614.html,$240
9,2022-10-24 00:00, (Hamilton),2012 Silverado LTZ Z71 4x4 leather,https://cincinnati.craigslist.org/cto/d/hamilton-2012-silverado-ltz-z71-4x4/7549240682.html,$11370
10,2022-10-23 23:55, (Newport),Rock Hill Farms bourbon,https://cincinnati.craigslist.org/clt/d/newport-rock-hill-farms-bourbon/7549236268.html,$0
11,2022-10-23 23:54, (Batavia),New pair of Chevy/GMC 30” Swingcase Truck Tool Boxes #2088&2369,https://cincinnati.craigslist.org/for/d/batavia-new-pair-of-chevy-gmc-30/7549239208.html,$200
12,2022-10-23 23:43, (Cincinnati),Antique Wood Dresser,https://cincinnati.craigslist.org/fuo/d/cincinnati-antique-wood-dresser/7549237594.html,$60
13,2022-10-23 23:38, (Mason),10 Gallon Aquarium With Screened Lid And 2 Heat Lamps.  In Good Shape.,https://cincinnati.craigslist.org/for/d/mason-10-gallon-aquarium-with-screened/7547325893.html,$30
14,2022-10-23 23:38, (Mason),Bose Acoustimass 100W Sub in great shape!,https://cincinnati.craigslist.org/ele/d/mason-bose-acoustimass-100w-sub-in/7542828121.html,$70
15,2022-10-23 23:38, (Mason),NEW Jeff Bagwell 1991 Rookie of the Year 4-Card Set.  In sealed case w/ certific,https://cincinnati.craigslist.org/clt/d/mason-new-jeff-bagwell-1991-rookie-of/7540369471.html,$18
16,2022-10-23 23:38, (Cincinnati),8 inch GPS tablet chartplotter + 2022 Navionics charts,https://cincinnati.craigslist.org/bpo/d/cincinnati-inch-gps-tablet-chartplotter/7541757625.html,
17,2022-10-23 23:38, (Mason),Beautiful San Fransisco Music Box Company Collector’s Jewelry Box in good shap,https://cincinnati.craigslist.org/clt/d/mason-beautiful-san-fransisco-music-box/7540688163.html,$50
18,2022-10-23 23:37, (Mason),Under Armour Men’s 8 Charged Athletic Shoes In Good Shape.,https://cincinnati.craigslist.org/clo/d/mason-under-armour-mens-charged/7544183439.html,$30
19,2022-10-23 23:35, (cincinnati),Pit-bull Pups,https://cincinnati.craigslist.org/for/d/cincinnati-pit-bull-pups/7549236479.html,$0
20,2022-10-23 23:28, (Cincinnati),Vintage Johny’s Gems Flatware Set,https://cincinnati.craigslist.org/atq/d/cincinnati-vintage-johnys-gems-flatware/7549233980.html,$100
21,2022-10-23 23:24, (Blanchester),4 runner emblem black outs,https://cincinnati.craigslist.org/pts/d/blanchester-runner-emblem-black-outs/7544230889.html,$100
22,2022-10-23 23:23, (Liberty TWP.),RV Travel trailer 2004 coachman. 26ft.,https://cincinnati.craigslist.org/rvs/d/middletown-rv-travel-trailer-2004/7549235257.html,$5800
